"","fund_name","fund_extended_name","category","fund_family","net_assets","ytd_return","fund_yield","morningstar_rating","inception_date","investment","size","currency","net_annual_expense_ratio_fund","net_annual_expense_ratio_category","portfolio_cash","portfolio_stocks","portfolio_bonds","portfolio_others","portfolio_preferred","portfolio_convertable","price_earnings","price_book","price_sales","price_cashflow","median_market_cap","basic_materials","consumer_cyclical","financial_services","real_estate","consumer_defensive","healthcare","utilities","communication_services","energy","industrials","technology","bond_maturity","bond_duration","rating_us_government","rating_aaa","rating_aa","rating_a","rating_bbb","rating_bb","rating_b","rating_below_b","rating_others","morningstar_return_rating","fund_return_ytd","category_return_ytd","fund_return_1month","category_return_1month","fund_return_3months","category_return_3months","fund_return_1year","category_return_1year","fund_return_3years","category_return_3years","fund_return_5years","category_return_5years","fund_return_10years","category_return_10years","fund_return_2018","category_return_2018","fund_return_2017","category_return_2017","fund_return_2016","category_return_2016","fund_return_2015","category_return_2015","fund_return_2014","category_return_2014","fund_return_2013","category_return_2013","fund_return_2012","category_return_2012","fund_return_2011","category_return_2011","fund_return_2010","category_return_2010","morningstar_risk_rating","years_up","years_down","fund_alpha_3years","category_alpha_3years","fund_alpha_5years","category_alpha_5years","fund_alpha_10years","category_alpha_10years","fund_beta_3years","category_beta_3years","fund_beta_5years","category_beta_5years","fund_beta_10years","category_beta_10years","fund_mean_annual_return_3years","category_mean_annual_return_3years","fund_mean_annual_return_5years","category_mean_annual_return_5years","fund_mean_annual_return_10years","category_mean_annual_return_10years","fund_r_squared_3years","category_r_squared_3years","fund_r_squared_5years","category_r_squared_5years","fund_r_squared_10years","category_r_squared_10years","fund_standard_deviation_3years","category_standard_deviation_3years","fund_standard_deviation_5years","category_standard_deviation_5years","fund_standard_deviation_10years","category_standard_deviation_10years","fund_sharpe_ratio_3years","category_sharpe_ratio_3years","fund_sharpe_ratio_5years","category_sharpe_ratio_5years","fund_sharpe_ratio_10years","category_sharpe_ratio_10years","fund_treynor_ratio_3years","category_treynor_ratio_3years","fund_treynor_ratio_5years","category_treynor_ratio_5years","fund_treynor_ratio_10years","category_treynor_ratio_10years","NumOfSector","highest"
"1","AAAGX","Thrivent Large Cap Growth Fund Class A","Large Growth","Thrivent Funds",1.08e+09,16,0,3,1999-10-28,"Growth","Large","USD",1.15,1.06,1.91,97.06,0,1.03,0,0,"24.49",5.78,"4.45","14.29","156,593.77",0,20.2,16.12,0,3.99,16.52,0,0,0.78,7.08,35.3,NA,NA,0,0,0,0,0,0,0,0,0,3,16,15.67,2.27,2.12,16,15.67,12.87,10.71,15.39,15.35,12,11.26,15.32,15.94,1.48,-2.09,27.7,27.67,-2.26,3.23,9.69,3.6,10.05,10,34.89,33.92,17.79,15.34,-6.29,-2.46,9.7,15.53,3,13,6,0.58,0.01,0.27,0,-1.85,-0.01,1.11,0.01,1.1,0.01,1.11,0.01,1.27,0.01,1.02,0.01,1.29,0.01,80.41,0.84,83.68,0.86,88.96,0.88,13.36,0.13,13.4,0.13,14.89,0.14,1.05,0.01,0.86,0.01,1.01,0.01,"12.65",0.13,"10.22",0.1,"13.44",0.15,7,"technology"
"2","AAGOX","Alger Large Cap Growth Portfolio Class I-2","Large Growth","Alger",282950000,14.66,0,2,1989-01-05,"Growth","Large","USD",0.88,1.06,2.59,97.12,0,0,0.29,0,"31.14",5.61,"3.24","20.17","56,216.18",0.13,19.88,8.11,5.46,1.54,26.72,0,1.03,0,7.55,29.59,NA,NA,0,0,0,0,0,0,0,0,0,3,14.66,15.67,1.39,2.12,14.66,15.67,12.41,10.71,15.78,15.35,10.75,11.26,15.4,15.94,2.21,-2.09,28.46,27.67,-0.83,3.23,1.72,3.6,10.99,10,35.08,33.92,9.87,15.34,-0.35,-2.46,13.39,15.53,5,23,6,0.48,0.01,-1.21,0,-1.56,-0.01,1.17,0.01,1.15,0.01,1.1,0.01,1.32,0.01,0.95,0.01,1.3,0.01,69.7,0.84,75.23,0.86,83.75,0.88,15.09,0.13,14.87,0.13,15.2,0.14,0.96,0.01,0.71,0.01,0.99,0.01,"12.35",0.13,"8.64",0.1,"13.65",0.15,9,"technology"
"3","ABPRX","AB Large Cap Growth Fund Class R","Large Growth","AllianceBernstein",8.44e+09,15.8,0,4,2003-11-02,"Growth","Large","USD",1.29,1.06,10.24,89.76,0,0,0,0,"24.03",7.3,"3.31","18.13","73,263.61",2.41,15.67,9.63,0,10.29,23.61,0,0,0,6.61,31.78,NA,NA,0,0,0,0,0,0,0,0,0,4,15.8,15.67,2.33,2.12,15.8,15.67,15.35,10.71,16.91,15.35,14.71,11.26,17.5,15.94,1.53,-2.09,30.88,27.67,2.41,3.23,10.12,3.6,13.2,10,36.51,33.92,17.79,15.34,-1.18,-2.46,9.05,15.53,3,12,3,3.29,0.01,4.03,0,0.99,-0.01,0.98,0.01,0.94,0.01,1.04,0.01,1.36,0.01,1.2,0.01,1.43,0.01,85.33,0.84,86.61,0.86,87.53,0.88,11.4,0.13,11.3,0.13,14.07,0.14,1.32,0.01,1.21,0.01,1.19,0.01,"15.94",0.13,"14.8",0.1,"16.44",0.15,7,"technology"
"4","ACAAX","Alger Capital Appreciation Fund Class A","Large Growth","Alger",2.8e+09,15.52,0,4,1996-12-30,"Growth","Large","USD",1.21,1.06,2.44,97.38,0,0,0.18,0,"20.31",4.72,"3.29","15.48","135,584.55",3.41,18.2,13.36,0.88,1.17,20,0,1.74,0.31,7.33,33.6,NA,NA,0,0,0,0,0,0,0,0,0,4,15.52,15.67,2.3,2.12,15.52,15.67,11.38,10.71,15.87,15.35,12.41,11.26,17.26,15.94,-1,-2.09,31.22,27.67,0.33,3.23,6.25,3.6,13.12,10,34.89,33.92,17.84,15.34,-0.97,-2.46,13.11,15.53,3,16,6,1.22,0.01,0.77,0,0.02,-0.01,1.09,0.01,1.08,0.01,1.09,0.01,1.31,0.01,1.05,0.01,1.42,0.01,81.02,0.84,84.77,0.86,89.92,0.88,13.06,0.13,13.14,0.13,14.63,0.14,1.1,0.01,0.9,0.01,1.14,0.01,"13.33",0.13,"10.74",0.1,"15.38",0.15,10,"technology"
"5","ACAHX","American Century All Cap Growth Fund C Class","Large Growth","American Century Investments",1.15e+09,15.91,0,2,2011-09-29,"Growth","Large","USD",2,1.06,1.15,98.85,0,0,0,0,"23.07",5.51,"2.94","14.5","142,503.14",0.04,20.61,10.64,0.94,6.32,14.95,0.05,1.2,1.17,7.28,36.81,NA,NA,0,0,0,0,0,0,0,0,0,2,15.91,15.67,2.84,2.12,15.91,15.67,10.11,10.71,12.69,15.35,9.88,11.26,14.31,15.94,-4.07,-2.09,23.63,27.67,2.03,3.23,5.37,3.6,8.58,10,27.68,33.92,14.6,15.34,NA,-2.46,NA,NA,3,6,1,-1.79,0.01,-1.46,0,-2.29,-0.01,1.11,0.01,1.07,0.01,1.07,0.01,1.07,0.01,0.86,0.01,1.21,0.01,87.17,0.84,88.48,0.86,87.84,0.88,12.74,0.13,12.72,0.13,14.54,0.14,0.9,0.01,0.74,0.01,0.97,0.01,"10.3",0.13,"8.49",0.1,"12.91",0.15,11,"technology"
"6","ACAJX","American Century All Cap Growth Fund I Class","Large Growth","American Century Investments",1.15e+09,16.28,0,3,2011-09-29,"Growth","Large","USD",0.8,1.06,1.15,98.85,0,0,0,0,"23.07",5.51,"2.94","14.5","142,503.14",0.04,20.61,10.64,0.94,6.32,14.95,0.05,1.2,1.17,7.28,36.81,NA,NA,0,0,0,0,0,0,0,0,0,3,16.28,15.67,2.95,2.12,16.28,15.67,11.45,10.71,14.06,15.35,11.21,11.26,15.63,15.94,-2.93,-2.09,25.14,27.67,3.26,3.23,6.63,3.6,9.9,10,29.19,33.92,15.96,15.34,NA,-2.46,NA,NA,3,6,1,-0.57,0.01,-0.25,0,-1.13,-0.01,1.11,0.01,1.07,0.01,1.07,0.01,1.17,0.01,0.96,0.01,1.31,0.01,87.17,0.84,88.46,0.86,87.85,0.88,12.74,0.13,12.71,0.13,14.55,0.14,1,0.01,0.84,0.01,1.04,0.01,"11.53",0.13,"9.74",0.1,"14.14",0.15,11,"technology"
"7","ACAPX","Alger Capital Appreciation Fund Class B","Large Growth","Alger",2.8e+09,15.32,0,3,1993-10-31,"Growth","Large","USD",1.99,1.06,2.44,97.38,0,0,0.18,0,"20.31",4.72,"3.29","15.48","135,584.55",3.41,18.2,13.36,0.88,1.17,20,0,1.74,0.31,7.33,33.6,NA,NA,0,0,0,0,0,0,0,0,0,3,15.32,15.67,2.24,2.12,15.32,15.67,10.53,10.71,15,15.35,11.55,11.26,16.32,15.94,-1.74,-2.09,30.33,27.67,-0.51,3.23,5.42,3.6,12.21,10,33.83,33.92,16.96,15.34,-1.86,-2.46,12.15,15.53,3,17,8,0.48,0.01,0.02,0,-0.78,-0.01,1.09,0.01,1.08,0.01,1.09,0.01,1.24,0.01,0.99,0.01,1.36,0.01,80.78,0.84,84.63,0.86,89.79,0.88,13.06,0.13,13.12,0.13,14.61,0.14,1.04,0.01,0.84,0.01,1.08,0.01,"12.55",0.13,"9.97",0.1,"14.54",0.15,10,"technology"
"8","ACAQX","American Century All Cap Growth Fund A Class","Large Growth","American Century Investments",1.15e+09,16.11,0,3,2011-09-29,"Growth","Large","USD",1.25,1.06,1.15,98.85,0,0,0,0,"23.07",5.51,"2.94","14.5","142,503.14",0.04,20.61,10.64,0.94,6.32,14.95,0.05,1.2,1.17,7.28,36.81,NA,NA,0,0,0,0,0,0,0,0,0,3,16.11,15.67,2.9,2.12,16.11,15.67,10.96,10.71,13.56,15.35,10.71,11.26,15.17,15.94,-3.34,-2.09,24.58,27.67,2.8,3.23,6.18,3.6,9.41,10,28.62,33.92,15.46,15.34,NA,-2.46,NA,NA,3,6,1,-1.01,0.01,-0.7,0,-1.53,-0.01,1.11,0.01,1.07,0.01,1.07,0.01,1.13,0.01,0.92,0.01,1.27,0.01,87.19,0.84,88.48,0.86,87.84,0.88,12.73,0.13,12.71,0.13,14.54,0.14,0.96,0.01,0.8,0.01,1.02,0.01,"11.09",0.13,"9.27",0.1,"13.71",0.15,11,"technology"
"9","ACARX","Alger Capital Appreciation Institutional Fund Class R","Large Growth","Alger",3.45e+09,15.4,0,3,2003-01-26,"Growth","Large","USD",1.59,1.06,2.32,97.46,0,0,0.22,0,"20.29",4.82,"3.29","15.48","135,965.47",3.38,18.14,13.4,0.9,1.18,20.18,0,1.75,0.31,7.06,33.7,NA,NA,0,0,0,0,0,0,0,0,0,3,15.4,15.67,2.21,2.12,15.4,15.67,10.86,10.71,15.35,15.35,11.94,11.26,16.7,15.94,-1.32,-2.09,30.47,27.67,-0.03,3.23,5.69,3.6,12.76,10,34.12,33.92,17.56,15.34,-1.53,-2.46,12.92,15.53,3,11,4,0.76,0.01,0.38,0,-0.41,-0.01,1.09,0.01,1.08,0.01,1.09,0.01,1.27,0.01,1.02,0.01,1.38,0.01,81.23,0.84,84.96,0.86,90.02,0.88,13.04,0.13,13.07,0.13,14.56,0.14,1.07,0.01,0.87,0.01,1.11,0.01,"12.85",0.13,"10.34",0.1,"14.93",0.15,10,"technology"
"10","ACAWX","American Century All Cap Growth Fund R Class","Large Growth","American Century Investments",1.15e+09,16.07,0,3,2011-09-29,"Growth","Large","USD",1.5,1.06,1.15,98.85,0,0,0,0,"23.07",5.51,"2.94","14.5","142,503.14",0.04,20.61,10.64,0.94,6.32,14.95,0.05,1.2,1.17,7.28,36.81,NA,NA,0,0,0,0,0,0,0,0,0,3,16.07,15.67,2.88,2.12,16.07,15.67,10.66,10.71,13.27,15.35,10.43,11.26,14.89,15.94,-3.61,-2.09,24.24,27.67,2.56,3.23,5.9,3.6,9.14,10,28.31,33.92,15.16,15.34,NA,-2.46,NA,NA,3,6,1,-1.28,0.01,-0.97,0,-1.79,-0.01,1.11,0.01,1.07,0.01,1.07,0.01,1.11,0.01,0.9,0.01,1.25,0.01,87.19,0.84,88.48,0.86,87.84,0.88,12.75,0.13,12.73,0.13,14.55,0.14,0.94,0.01,0.78,0.01,1,0.01,"10.81",0.13,"9",0.1,"13.44",0.15,11,"technology"
